station,latitude,longitude,numDocks,timestamp,year,month,day,hour,weekday,weekhour,isHoliday,windMaxSpeed.m.s,windMeanSpeed.m.s,windDirection.grades,temperature.C,relHumidity.HR,airPressure.mb,precipitation.l.m2,bikes_3h_ago,full_profile_3h_diff_bikes,full_profile_bikes,short_profile_3h_diff_bikes,short_profile_bikes,Id
106,39.476713,-0.341369,25,1406800800.0,2014,7,31,12,Thursday,83,0,11.3,4.8,0.0,28.7,58.0,1013.7,0.0,12.0,10.5069065210408,10.507520205534401,11.536404160475499,11.5230312035661,201096
7,39.474715,-0.37932,20,1405731600.0,2014,7,19,3,Saturday,122,0,6.4,1.6,157.5,23.6,86.0,1009.3,0.0,5.0,5.2431035420860805,5.243037423846821,4.93164933135215,4.87072808320951,201097
106,39.476713,-0.341369,25,1405324800.0,2014,7,14,10,Monday,9,0,4.8,1.6,67.5,26.3,70.0,1014.3,0.0,23.0,10.450897744690199,10.4534559185684,9.98365527488856,10.053491827637401,201098
110,39.48075,-0.336789,30,1402052400.0,2014,6,6,13,Friday,108,0,5.7,1.5,120.0,23.0,65.0,1002.0,0.0,25.0,11.1645039044557,11.1666379656736,7.9732540861812815,7.97622585438336,201099
7,39.474715,-0.37932,20,1401753600.0,2014,6,3,2,Tuesday,25,0,2.2,0.5,299.0,18.1,70.0,1006.0,0.0,1.0,5.24646627819766,5.2461068173953205,4.75482912332838,4.75482912332838,201100
8,39.474324,-0.375151,23,1401919200.0,2014,6,5,0,Thursday,71,0,12.8,4.7,67.0,17.7,84.0,1002.0,0.0,1.0,5.33149203061166,5.33024620340543,5.8187221396731115,5.81575037147103,201101
106,39.476713,-0.341369,25,1404946800.0,2014,7,10,1,Thursday,72,0,6.4,3.2,67.5,23.1,69.0,1017.4,0.0,9.0,10.421736497274699,10.4214553060326,8.73551263001486,8.7592867756315,201102
7,39.474715,-0.37932,20,1401591600.0,2014,6,1,5,Sunday,148,0,4.5,1.6,311.0,15.2,68.0,1006.0,0.0,9.0,5.2477440999537315,5.247672468628919,4.8261515601783085,4.79940564635958,201103
110,39.48075,-0.336789,30,1403492400.0,2014,6,23,5,Monday,4,0,2.4,0.3,313.0,13.8,88.0,1004.0,0.0,9.0,11.0912879427831,11.090586645648001,7.5586319218241,7.55537459283388,201104
106,39.476713,-0.341369,25,1405396800.0,2014,7,15,6,Tuesday,29,0,0.0,0.0,146.3,22.2,85.0,1016.9,0.0,16.0,10.461942257217801,10.4630186410102,10.147102526003,10.2065378900446,201105
8,39.474324,-0.375151,23,1406815200.0,2014,7,31,16,Thursday,87,0,0.0,0.0,146.3,28.6,58.9,1011.5,0.0,8.0,5.39234475374732,5.39143698153599,5.884101040118869,5.843982169390791,201106
7,39.474715,-0.37932,20,1402977600.0,2014,6,17,6,Tuesday,29,0,3.9,0.9,315.0,19.2,66.0,1003.0,0.0,1.0,5.2513341660043205,5.25120608434077,5.17915309446254,5.185667752443,201107
8,39.474324,-0.375151,23,1404853200.0,2014,7,8,23,Tuesday,46,0,16.1,6.4,67.5,23.2,81.0,1017.9,0.0,4.0,5.3854976564654,5.3845644983462,6.49244712990937,6.47067669172932,201108
110,39.48075,-0.336789,30,1402232400.0,2014,6,8,15,Sunday,158,0,4.4,1.2,137.0,24.2,64.0,1004.0,0.0,1.0,11.1424563412539,11.1402976531196,7.88541666666667,7.87648809523809,201109
106,39.476713,-0.341369,25,1403632800.0,2014,6,24,20,Tuesday,43,0,9.8,3.3,282.0,17.1,76.0,1001.0,0.6,4.0,10.470614675806301,10.469639948323302,8.869706840390881,8.820846905537461,201110
8,39.474324,-0.375151,23,1403737200.0,2014,6,26,1,Thursday,72,0,3.1,0.9,298.0,21.1,69.0,1001.0,0.0,3.0,5.370546984572232,5.36932136848009,6.74918566775244,6.7328990228013,201111
110,39.48075,-0.336789,30,1403150400.0,2014,6,19,6,Thursday,77,0,5.8,3.5,27.0,18.3,81.0,1005.0,0.0,0.0,11.105877024119597,11.1038093620875,7.9218241042345285,7.9218241042345285,201112
110,39.48075,-0.336789,30,1403654400.0,2014,6,25,2,Wednesday,49,0,4.9,1.6,271.0,17.7,72.0,999.0,0.0,0.0,11.0910010111223,11.0887291514573,7.607491856677519,7.607491856677519,201113
110,39.48075,-0.336789,30,1402322400.0,2014,6,9,16,Monday,15,0,,,,,,,,1.0,11.1378126251932,11.137396280400601,7.8488549618320596,7.848159509202452,201114
110,39.48075,-0.336789,30,1402358400.0,2014,6,10,2,Tuesday,25,0,,,,,,,,1.0,11.1378126251932,11.137396280400601,7.8728682170542585,7.90965732087227,201115
8,39.474324,-0.375151,23,1403845200.0,2014,6,27,7,Friday,102,0,4.3,1.6,323.0,21.1,65.0,1005.0,0.0,0.0,5.37160459255111,5.37060470324748,6.8127035830618885,6.81758957654723,201116
8,39.474324,-0.375151,23,1405051200.0,2014,7,11,6,Friday,101,0,6.4,1.6,157.5,20.1,59.0,1016.2,0.0,0.0,5.382627817482129,5.38142346798571,6.33878157503715,6.33135215453195,201117
8,39.474324,-0.375151,23,1405591200.0,2014,7,17,12,Thursday,83,0,9.7,4.8,247.5,29.1,55.0,1016.7,0.0,14.0,5.38854961832061,5.38947942218588,6.283803863298662,6.24368499257058,201118
110,39.48075,-0.336789,30,1402700400.0,2014,6,14,1,Saturday,120,0,4.5,1.9,315.0,25.5,40.0,1003.0,0.0,0.0,11.1350287962593,11.132710067267098,7.9739413680781785,7.96905537459283,201119
110,39.48075,-0.336789,30,1404986400.0,2014,7,10,12,Thursday,83,0,20.9,8.0,292.5,24.7,43.0,1016.8,0.0,10.0,11.1306955756108,11.131594872641196,10.838038632986601,10.8454680534918,201120
8,39.474324,-0.375151,23,1402063200.0,2014,6,6,16,Friday,111,0,9.4,3.1,143.0,22.2,68.0,1001.0,0.0,21.0,5.332510477065269,5.33316115702479,5.8736998514115895,5.894502228826151,201121
110,39.48075,-0.336789,30,1403528400.0,2014,6,23,15,Monday,14,0,5.6,2.1,126.0,24.0,69.0,1003.0,0.0,30.0,11.0952890189677,11.0966689173982,7.5928338762214995,7.597719869706839,201122
7,39.474715,-0.37932,20,1403301600.0,2014,6,21,0,Saturday,119,0,1.2,0.4,20.0,21.3,72.0,1002.0,0.0,16.0,5.2537279710799805,5.2560844768197,5.4560260586319185,5.51302931596091,201123
8,39.474324,-0.375151,23,1403683200.0,2014,6,25,10,Wednesday,57,0,12.5,5.1,301.0,24.4,47.0,1000.0,0.0,5.0,5.36681639528355,5.36879034521471,6.68892508143322,6.7410423452768695,201124
7,39.474715,-0.37932,20,1406703600.0,2014,7,30,9,Wednesday,56,0,12.9,4.8,157.5,22.0,54.0,1011.4,0.0,0.0,5.23936940318516,5.23925163503806,5.0891530460624095,5.08766716196137,201125
110,39.48075,-0.336789,30,1404176400.0,2014,7,1,3,Tuesday,26,0,17.7,11.3,67.5,22.0,85.0,1001.9,0.0,7.0,11.137738897865901,11.1366421568627,10.081433224755699,10.110749185667801,201126
7,39.474715,-0.37932,20,1403787600.0,2014,6,26,15,Thursday,86,0,10.9,5.7,130.0,26.0,54.0,1001.0,0.0,7.0,5.26049666461124,5.26064783680789,5.83061889250814,5.8257328990228,201127
106,39.476713,-0.341369,25,1405432800.0,2014,7,15,16,Tuesday,39,0,20.9,11.3,22.5,27.3,65.0,1016.3,0.0,24.0,10.4674281342223,10.4697044200404,10.3283803863299,10.3789004457652,201128
110,39.48075,-0.336789,30,1404914400.0,2014,7,9,16,Wednesday,63,0,20.9,9.7,337.5,25.5,56.0,1015.3,0.0,20.0,11.124449096518301,11.1253511042573,10.7325408618128,10.7057949479941,201129
7,39.474715,-0.37932,20,1402491600.0,2014,6,11,15,Wednesday,62,0,8.7,4.2,125.0,27.7,34.0,1008.0,0.0,15.0,5.23788546255507,5.24033401967513,4.899022801302929,4.94788273615635,201130
110,39.48075,-0.336789,30,1406156400.0,2014,7,24,1,Thursday,72,0,14.5,8.0,67.5,24.3,80.0,1007.9,0.0,12.0,11.1923014542899,11.192033293698001,13.8395245170877,13.8439821693908,201131
8,39.474324,-0.375151,23,1403773200.0,2014,6,26,11,Thursday,82,0,3.8,1.1,195.0,26.8,43.0,1002.0,0.0,14.0,5.36848892626857,5.370852017937219,6.7557003257329,6.79315960912052,201132
106,39.476713,-0.341369,25,1405576800.0,2014,7,17,8,Thursday,79,0,6.4,3.2,157.5,22.6,71.0,1017.1,0.0,14.0,10.4788962809467,10.4798015591779,10.940564635958399,11.007429420505199,201133
7,39.474715,-0.37932,20,1403751600.0,2014,6,26,5,Thursday,76,0,4.0,1.3,290.0,19.7,68.0,1000.0,0.0,1.0,5.2619888944977316,5.2616350790624695,5.83876221498371,5.82736156351792,201134
106,39.476713,-0.341369,25,1406818800.0,2014,7,31,17,Thursday,88,0,22.5,12.9,22.5,29.0,54.0,1011.0,0.0,13.0,10.507680779318099,10.508401113013699,11.5037147102526,11.509658246656802,201135
106,39.476713,-0.341369,25,1403272800.0,2014,6,20,16,Friday,111,0,8.0,2.4,144.0,26.6,41.0,1002.0,0.0,25.0,10.458639394281802,10.4596960967068,7.814332247557,7.8127035830618885,201136
106,39.476713,-0.341369,25,1401904800.0,2014,6,4,20,Wednesday,67,0,13.6,5.9,57.0,22.2,63.0,998.0,0.0,15.0,10.5028485929677,10.5028190081694,7.59138187221397,7.60326894502229,201137
7,39.474715,-0.37932,20,1404723600.0,2014,7,7,11,Monday,10,0,12.9,4.8,337.5,26.3,63.0,1012.3,0.0,5.0,5.2385767169456905,5.23917366327883,5.2667731629393,5.268680445151031,201138
7,39.474715,-0.37932,20,1403553600.0,2014,6,23,22,Monday,21,0,2.8,0.5,308.0,20.7,79.0,1004.0,0.0,4.0,5.26116799819962,5.26098205748355,5.72312703583062,5.680781758957652,201139
8,39.474324,-0.375151,23,1404061200.0,2014,6,29,19,Sunday,162,0,8.3,5.2,138.0,21.8,77.0,1004.0,0.0,2.0,5.37147641641083,5.370703125,6.58631921824104,6.5781758957654715,201140
7,39.474715,-0.37932,20,1403571600.0,2014,6,24,3,Tuesday,26,0,0.8,0.3,338.0,19.2,81.0,1002.0,0.0,0.0,5.2598571348219805,5.25950292397661,5.64495114006515,5.60260586319218,201141
7,39.474715,-0.37932,20,1403373600.0,2014,6,21,20,Saturday,139,0,2.6,0.8,36.0,23.1,69.0,1001.0,0.0,7.0,5.26427443015121,5.264820350837612,5.82736156351792,5.84039087947883,201142
106,39.476713,-0.341369,25,1406530800.0,2014,7,28,9,Monday,8,0,6.4,1.6,135.0,24.7,81.0,1011.2,0.0,5.0,10.4946514003118,10.4943572656922,11.3744427934621,11.3803863298663,201143
106,39.476713,-0.341369,25,1406728800.0,2014,7,30,16,Wednesday,63,0,24.1,12.9,337.5,26.6,67.0,1009.3,0.0,14.0,10.5108264551399,10.5113861651396,11.6775631500743,11.638930163447304,201144
8,39.474324,-0.375151,23,1405483200.0,2014,7,16,6,Wednesday,53,0,4.8,1.6,157.5,22.4,80.0,1016.8,0.0,0.0,5.38787547788094,5.38667758667759,6.297176820208019,6.28974739970282,201145
110,39.48075,-0.336789,30,1404536400.0,2014,7,5,7,Saturday,126,0,9.7,1.6,202.5,21.8,65.0,1015.4,0.0,9.0,11.145287305369301,11.1445823177487,10.6943089430894,10.739837398374,201146
7,39.474715,-0.37932,20,1406757600.0,2014,7,31,0,Thursday,71,0,11.3,6.4,67.5,24.4,77.0,1015.2,0.0,2.0,5.2381590227175305,5.23852375595908,4.91381872213967,4.91381872213967,201147
7,39.474715,-0.37932,20,1406649600.0,2014,7,29,18,Tuesday,41,0,20.9,11.3,0.0,26.1,53.0,1009.4,0.0,15.0,5.23779113448535,5.24051719512849,4.9777117384844,5.05794947994056,201148
110,39.48075,-0.336789,30,1403474400.0,2014,6,23,0,Monday,167,0,2.2,0.9,30.0,18.4,85.0,1004.0,0.0,9.0,11.091876971608801,11.091118995325804,7.56677524429967,7.561889250814331,201149
110,39.48075,-0.336789,30,1401656400.0,2014,6,1,23,Sunday,166,0,0.8,0.3,48.0,19.2,65.0,1006.0,0.0,4.0,11.1824800647174,11.1808098896655,8.33283803863299,8.32838038632987,201150
110,39.48075,-0.336789,30,1405760400.0,2014,7,19,11,Saturday,130,0,4.8,1.6,157.5,28.2,59.0,1008.9,0.0,21.0,11.1511393919617,11.1523488473249,12.6374442793462,12.6775631500743,201151
110,39.48075,-0.336789,30,1405184400.0,2014,7,12,19,Saturday,138,0,19.3,8.0,337.5,25.2,68.0,1014.2,0.0,10.0,11.139902342678402,11.139315489249697,11.4650817236256,11.478454680534899,201152
106,39.476713,-0.341369,25,1402696800.0,2014,6,14,0,Saturday,119,0,2.2,0.5,320.0,26.4,39.0,1003.0,0.0,1.0,10.475253734747401,10.474947272416301,7.5439739413680815,7.57980456026059,201153
106,39.476713,-0.341369,25,1402930800.0,2014,6,16,17,Monday,16,0,16.7,10.8,137.0,22.4,65.0,1001.0,0.0,18.0,10.471396920979402,10.472626079055,7.7671009771987,7.757328990228009,201154
106,39.476713,-0.341369,25,1406548800.0,2014,7,28,14,Monday,13,0,20.9,8.0,0.0,28.8,65.0,1008.7,0.0,19.0,10.494948409286302,10.4966421318433,11.3907875185736,11.405646359584,201155
7,39.474715,-0.37932,20,1406091600.0,2014,7,23,7,Wednesday,54,0,0.0,0.0,146.3,21.9,77.0,1009.5,0.0,1.0,5.241517398127598,5.241560268340192,4.74591381872214,4.72362555720654,201156
7,39.474715,-0.37932,20,1405803600.0,2014,7,19,23,Saturday,142,0,3.2,0.0,180.0,26.5,79.0,1007.1,0.0,12.0,5.243382792543072,5.2460878069984815,4.6924219910847,4.75482912332838,201157
8,39.474324,-0.375151,23,1402243200.0,2014,6,8,18,Sunday,161,0,4.2,1.0,135.0,23.8,66.0,1003.0,0.0,13.0,5.34274101213648,5.3431007840668485,6.02380952380952,6.03571428571429,201158
7,39.474715,-0.37932,20,1402815600.0,2014,6,15,9,Sunday,152,0,4.4,1.1,55.0,25.6,34.0,1001.0,0.0,2.0,5.24042347316296,5.24058267895755,4.68241042345277,4.66449511400651,201159
8,39.474324,-0.375151,23,1402783200.0,2014,6,15,0,Sunday,143,0,5.3,1.6,90.0,22.5,75.0,999.0,0.0,1.0,5.35108200455581,5.350241958440081,6.28501628664495,6.19055374592834,201160
8,39.474324,-0.375151,23,1404511200.0,2014,7,5,0,Saturday,119,0,12.9,8.0,67.5,24.7,73.0,1015.7,0.0,9.0,5.375388026607539,5.375561097256861,6.58048780487805,6.58211382113821,201161
110,39.48075,-0.336789,30,1403708400.0,2014,6,25,17,Wednesday,64,0,4.3,1.3,220.0,24.4,52.0,999.0,0.0,20.0,11.089521243756002,11.090954999438901,7.545602605863191,7.60260586319218,201162
8,39.474324,-0.375151,23,1406563200.0,2014,7,28,18,Monday,17,0,32.2,20.9,67.5,27.4,68.0,1007.2,0.0,3.0,5.39231595916174,5.391404781090518,5.90490341753343,5.903417533432388,201163
8,39.474324,-0.375151,23,1405393200.0,2014,7,15,5,Tuesday,28,0,0.0,0.0,146.3,22.9,83.0,1016.7,0.0,0.0,5.3864369701941515,5.38523783488245,6.274888558692419,6.2704309063893,201164
7,39.474715,-0.37932,20,1403193600.0,2014,6,19,18,Thursday,89,0,8.0,3.9,128.0,21.9,73.0,1004.0,0.0,5.0,5.25031119158085,5.25182419820126,5.2557003257329,5.30130293159609,201165
